Titulo,Pais,Ano,Minutagem,Genero,Sinopse
Naruto Shippûden the Movie: Bonds,Japan,2008,93,"Action & Adventure, Anime Features, International Movies",when strange ninjas ambush the village of konohagakure  it s up to adolescent ninja naruto and his long missing pal  sasuke  to save the planet 
Naruto Shippûden the Movie: The Will of Fire,Japan,2009,96,"Action & Adventure, Anime Features, International Movies",when four out of five ninja villages are destroyed  the leader of the one spared tries to find the true culprit and protect his land 
Naruto Shippuden: The Movie,Japan,2007,95,"Action & Adventure, Anime Features, International Movies",the adventures of adolescent ninja naruto uzumaki continue as he s tasked with protecting a priestess from a demon   but to do so  he must die 
Naruto Shippuden: The Movie: The Lost Tower,Japan,2010,85,"Action & Adventure, Anime Features, International Movies",when naruto is sent to recover a missing nin  the rogue manages to send him 20 years into the past  where he unites with his father to battle evil 
Naruto the Movie 2: Legend of the Stone of Gelel,Japan,2005,97,"Action & Adventure, Anime Features, International Movies",while on a mission to return a missing pet  naruto and two fellow ninjas are ambushed by brutal knights led by the enigmatic temujin 
Naruto the Movie 3: Guardians of the Crescent Moon Kingdom,Japan,2006,95,"Action & Adventure, Anime Features, International Movies",exuberant ninja naruto teams up with his pals sakura and kakashi to escort prince michiru and his son  hikaru  to the crescent moon kingdom 
Naruto the Movie: Ninja Clash in the Land of Snow,Japan,2004,83,"Action & Adventure, Anime Features, International Movies",naruto  sasuke and sakura learn they ll be protecting an actress from being hurt while making her next film  but it turns out she s a princess 
King of Boys,Nigeria,2018,182,"Dramas, International Movies",when a powerful businesswoman s political ambitions are threatened by her underworld connections  the ensuing power struggle could cost her everything 
Kate,United States,2021,106,Action & Adventure,slipped a fatal poison on her final job  a ruthless assassin working in tokyo has less than 24 hours to find out who ordered the hit and exact revenge 
Omo Ghetto: the Saga,Nigeria,2020,147,"Action & Adventure, Comedies, Dramas",twins are reunited as a good hearted female gangster and her uptight rich sister take on family  crime  cops and all of the trouble that follows them 
Paradise Hills,"Spain, United States",2019,95,"Sci-Fi & Fantasy, Thrillers",uma wakes up in a lush tropical facility designed to turn willful girls into perfect ladies  that s bad enough  but its real purpose is even worse 
The Women and the Murderer,France,2021,92,"Documentaries, International Movies",this documentary traces the capture of serial killer guy georges through the tireless work of two women  a police chief and a victim s mother 
Show Dogs,"United Kingdom, United States",2018,90,"Children & Family Movies, Comedies",a rough and tough police dog must go undercover with an fbi agent as a prim and proper pet at a dog show to save a baby panda from an illegal sale 
If I Leave Here Tomorrow: A Film About Lynyrd Skynyrd,United States,2018,97,"Documentaries, Music & Musicals",using interviews and archival footage  this documentary charts the story of the legendary southern rockers with a focus on front man ronnie van zant 
Untold: Breaking Point,United States,2021,80,"Documentaries, Sports Movies",under pressure to continue a winning tradition in american tennis  mardy fish faced mental health challenges that changed his life on and off the court 
Angamaly Diaries,India,2017,128,"Action & Adventure, Comedies, Dramas",after growing up amidst the gang wars of his hometown  vincent forms an entrepreneurial squad of his own and ends up on the wrong side of the law 
A Champion Heart,United States,2018,90,"Children & Family Movies, Dramas",when a grieving teen must work off her debt to a ranch  she cares for a wounded horse that teaches her more about healing than she expected 
Anjaam,India,1994,143,"Dramas, International Movies, Thrillers",a wealthy industrialist s dangerous obsession with a flight attendant destroys her world  until she takes matters into her own hands to exact revenge 
Bright Star,"United Kingdom, Australia, France",2009,119,"Dramas, Romantic Movies",this drama details the passionate three year romance between romantic poet john keats   who died tragically at age 25   and his great love and muse 
Dhanak,India,2015,114,"Comedies, Dramas, Independent Movies",a movie loving 10 year old and her blind little brother trek to meet indian superstar shah rukh khan for help in getting the boy an eye operation 
Final Account,"United Kingdom, United States",2021,94,Documentaries,this documentary stitches together never before seen interviews with the last living generation of people who participated in hitler s third reich 
Gurgaon,India,2017,106,"Dramas, International Movies, Thrillers",when the daughter of a wealthy family returns from college  she gets a frosty welcome from her brother  who has problems   and plans   of his own 
In the Cut,"United Kingdom, Australia, France, United States",2003,118,Thrillers,after embarking on an affair with the cop probing the murder of a young woman  an insular schoolteacher suspects her lover was involved in the crime 
Shikara,India,2020,115,"Dramas, International Movies, Romantic Movies",a couple must strive to remain resilient after regional hostilities drive them from their beloved home into a refugee camp 
A Cinderella Story,"United States, Canada",2004,95,"Children & Family Movies, Comedies",teen sam meets the boy of her dreams at a dance before returning to toil in her stepmother s diner  can her lost cell phone bring them together 
An Unfinished Life,"Germany, United States",2005,108,Dramas,a grieving widow and her daughter move in with her estranged father in law in wyoming  where time allows them to heal and forgive 
Blade Runner: The Final Cut,United States,1982,117,"Action & Adventure, Classic Movies, Cult Movies",in a smog choked dystopian los angeles  blade runner rick deckard is called out of retirement to snuff a quartet of escaped  replicants  
Chappie,"South Africa, United States",2015,121,"Action & Adventure, Sci-Fi & Fantasy",in a futuristic society where an indestructible robot police force keeps crime at bay  a lone droid evolves to the next level of artificial intelligence 
Clear and Present Danger,"United States, Mexico",1994,142,"Action & Adventure, Dramas",when the president s friend is murdered  cia deputy director jack ryan becomes unwittingly involved in an illegal war against a colombian drug cartel 
Cliffhanger,"United States, Italy, France, Japan",1993,113,Action & Adventure,ranger gabe walker and his partner are called to rescue a group of stranded climbers  only to learn the climbers are actually thieving hijackers 
Cold Mountain,"United States, Italy, Romania, United Kingdom",2003,154,"Dramas, Romantic Movies",this drama follows a wounded civil war soldier making the long journey home  while his faraway love fights for survival on her deceased father s farm 
Crocodile Dundee in Los Angeles,"Australia, United States",2001,95,"Action & Adventure, Comedies",when mick  crocodile  dundee and his family land in los angeles  they soon learn some lessons about american life in this comedy sequel 
Dear John,United States,2010,108,"Dramas, Romantic Movies",while on summer leave  a u s  soldier falls for a college student  but when he s forced to reenlist  their handwritten letters hold the lovers together 
Do the Right Thing,United States,1989,120,"Classic Movies, Comedies, Dramas",on a sweltering day in brooklyn  simmering racial tensions between residents rise to the surface and ignite rage  violence and tragedy 
"El patrón, radiografía de un crimen","Argentina, Venezuela",2014,100,"Dramas, International Movies, Thrillers",a lawyer defends an illiterate man whose exploitation by a cruel boss while working as a butcher in buenos aires led to tragedy  based on a true case 
Extraction,"United States, United Kingdom, Canada",2015,82,Action & Adventure,when a retired cia agent is kidnapped  his son  a government analyst  embarks on an unauthorized mission to find him and halt a terrorist plot 
Freedom Writers,"Germany, United States",2007,124,Dramas,while her at risk students are reading classics such as  the diary of anne frank   a teacher asks them to keep journals about their troubled lives 
Green Lantern,United States,2011,114,"Action & Adventure, Sci-Fi & Fantasy",test pilot hal jordan harnesses glowing new powers for good when he wears an otherworldly ring and helps an intergalactic force stop a powerful threat 
House Party,United States,1990,104,"Comedies, Cult Movies",grounded by his strict father  kid risks life and limb to go to his best friend play s big bash but experiences one obstacle after another 
House Party 2,United States,1991,94,"Comedies, Cult Movies, Music & Musicals",kid goes off to college with scholarship money but when play loses kid s tuition funds to a shady music promoter  they devise a wild plan to raise cash 
House Party 3,United States,1994,94,"Comedies, Music & Musicals",after kid gets engaged  play plans to throw the biggest bachelor party ever  but every celebration for these two always comes with complications 
I Got the Hook Up,United States,1998,93,"Action & Adventure, Comedies",after getting their hands on a misdirected shipment of cell phones  two hustlers try to cash in by hawking the merchandise from the back of their van 
In Too Deep,United States,1999,97,Thrillers,rookie cop jeffrey cole poses as a drug dealer to take down a crime lord and soon gets caught up in an underworld of bribery  intimidation and murder 
Initial D,"China, Hong Kong",2005,109,"Action & Adventure, International Movies",by day  an 18 year old delivers tofu for his father  a retired race car driver  but by night  it s the teen s turn to take the wheel 
Janoskians: Untold and Untrue,United States,2016,88,Comedies,follow the story of three australian brothers and their two friends who became an international sensation by posting pranks and gags on youtube 
Labyrinth,"United Kingdom, United States",1986,101,"Action & Adventure, Children & Family Movies, Cult Movies",in jim henson s fantasy  teen sarah embarks on a life altering quest to rescue her little brother from the clutches of a treacherous goblin 
Letters to Juliet,United States,2010,105,"Comedies, Dramas, Romantic Movies",by responding to a letter addressed to shakespeare s tragic heroine juliet capulet  an american woman in verona  italy  is led in search of romance 
Level 16,Canada,2018,102,"Sci-Fi & Fantasy, Thrillers",in a bleak academy that teaches girls the virtues of passivity  two students uncover the ghastly purpose behind their training and resolve to escape 
Love Don't Cost a Thing,United States,2003,101,"Comedies, Romantic Movies",a nerdy teen tries to make himself cool by association when he convinces a popular cheerleader to pose as his girlfriend 
Love in a Puff,Hong Kong,2010,103,"Comedies, Dramas, International Movies",when the hong kong government enacts a ban on smoking cigarettes indoors  the new law drives hard core smokers outside  facilitating unlikely connections 
Mars Attacks!,United States,1996,106,"Comedies, Cult Movies, Sci-Fi & Fantasy",as flying saucers head for earth  the president of the united states prepares to welcome alien visitors but soon learns they re not coming in peace 
Marshall,"United States, China, Hong Kong",2017,118,Dramas,this biopic of thurgood marshall  the first black u s  supreme court justice  centers on his pivotal work in a sensational case as an naacp lawyer 
My Boss's Daughter,United States,2003,86,"Comedies, Romantic Movies",a young man house sits for his mean boss  hoping to use it as an opportunity to win the heart of the boss s daughter  on whom he s long had a crush 
Mystery Men,United States,1999,121,"Action & Adventure, Comedies",a team of far from super heroes try to earn respect by springing into action when brave and dashing captain amazing disappears 
Once Upon a Time in America,"Italy, United States",1984,229,"Classic Movies, Dramas",director sergio leone s sprawling crime epic follows a group of jewish mobsters who rise in the ranks of organized crime in 1920s new york city 
Open Season 2,"United States, Canada",2008,76,"Children & Family Movies, Comedies",elliot the buck and his forest dwelling cohorts must rescue their dachshund pal from some spoiled pets bent on returning him to domesticity 
Osmosis Jones,United States,2001,95,"Action & Adventure, Children & Family Movies, Comedies",peter and bobby farrelly outdo themselves with this partially animated tale about an out of shape 40 year old man who s the host to various organisms 
Poseidon,United States,2006,98,"Action & Adventure, Dramas",a tidal wave spells disaster for a ship of new year s eve revelers when it capsizes the mammoth vessel  sending passengers into a battle for survival 
Rhyme & Reason,United States,1997,89,"Documentaries, Music & Musicals",the world and culture of rap song topics such as race  violence  police  family and sex are examined by hip hop performers from both coasts 
Same Kind of Different as Me,United States,2017,120,"Dramas, Faith & Spirituality",a wealthy couple whose marriage is on the rocks befriends a local homeless man who changes their perspectives in this inspiring true story 
School of Rock,"United States, Germany",2003,110,"Comedies, Music & Musicals",musician dewey finn gets a job as a fourth grade substitute teacher  where he secretly begins teaching his students the finer points of rock  n  roll 
Snervous Tyler Oakley,United States,2015,83,"Documentaries, LGBTQ Movies",the inspiring internet star and lgbt advocate shares an intimate view of his life and relationships during his international  slumber party  tour 
Tears of the Sun,United States,2003,121,"Action & Adventure, Dramas",a navy seal is sent to a war torn african jungle to rescue a doctor  only to realize he must also save the refugees in the physician s care 
The Blue Lagoon,United States,1980,105,"Dramas, Romantic Movies",two shipwrecked children  stranded for years on a deserted island  fall in love as teenagers and attempt to forge a life in the isolated paradise 
The Golden Child,United States,1986,94,"Action & Adventure, Comedies",a fast talking l a  social worker goes through a series of traps and terrors to find a kidnapped tibetan child with mystical powers 
The Guns of Navarone,"United Kingdom, United States",1961,156,"Action & Adventure, Classic Movies",during world war ii  british forces launch an attack designed to take out the massive nazi cannons that guard a critical sea channel 
The Interview,United States,2014,112,"Action & Adventure, Comedies",seth rogen and james franco star in this provocative comedy about two journalists recruited by the cia after they arrange an interview with kim jong un 
The Nutty Professor,United States,1996,95,"Comedies, Romantic Movies",after being made fun of for his weight  a kind and brainy professor takes a dose of a revolutionary formula that changes more than just his appearance 
Welcome Home Roscoe Jenkins,United States,2008,114,Comedies,r j  travels to georgia for his parents  50th anniversary  but after pompously flaunting his hollywood lifestyle  he must examine what he s become 
In the Line of Fire,United States,1993,129,"Action & Adventure, Classic Movies",a twisted yet ingenious killer torments a veteran secret service agent who s haunted by his failure years ago to save president john f  kennedy 
2 Alone in Paris,France,2008,97,"Comedies, International Movies",a bumbling paris policeman is doggedly determined to capture the master thief that repeatedly eludes him  even when they re the last two men on earth 
Thimmarusu,India,2021,125,"Dramas, International Movies",eight years after a young man is framed for murder  an up and coming lawyer re opens the case  beginning a tricky mission to find the real culprit 
Wind River,"United Kingdom, Canada, United States",2017,107,"Dramas, Independent Movies",a tracker with the u s  fish and wildlife service assists a rookie fbi agent who s investigating a teen girl s murder on a remote wyoming reservation 
C Kkompany,India,2008,127,"Action & Adventure, Comedies, International Movies",three broke friends pose as an underworld gang for extortion  but their plan takes on a life of its own when their phony company becomes famous 
EMI: Liya Hai To Chukana Padega,India,2008,128,"Comedies, Dramas, International Movies",a bank hires an enigmatic and unorthodox debt collector to recover money from four borrowers who are unable to pay their loans 
Koi Aap Sa,India,2006,135,"Comedies, Dramas, International Movies",star athlete rohan has his eye on a beautiful art student  but when his best friend simran experiences a crisis  he drops everything to help her 
Krishna Cottage,India,2004,124,"Action & Adventure, Horror Movies, International Movies",true love is put to the test when another woman comes between a pair of star crossed young lovers in this thriller 
Kucch To Hai,India,2003,136,"Dramas, International Movies, Thrillers",a student tries to steal a test from a teacher s home  leaving him for dead after an accident  a string of murders may be the professor s revenge 
Kyaa Kool Hai Hum,India,2005,165,"Comedies, International Movies, Music & Musicals",longtime friends rahul and karan head to mumbai intent on making their dreams come true  but both men are suddenly saddled with bad luck 
Kyaa Kool Hain Hum 3,India,2016,124,"Comedies, International Movies",when an unlikely porn actor falls for a woman outside the industry  he employs his co stars as a stand in traditional family to impress her father 
Kyaa Super Kool Hain Hum,India,2012,136,"Comedies, International Movies",an aspiring actor and a struggling dj team up to pursue the ladies they love and a diamond that rightfully belongs to their oversexed dog 
Kyo Kii... Main Jhuth Nahin Bolta,India,2001,150,"Comedies, International Movies, Sci-Fi & Fantasy",the life and career of a lawyer are thrown into chaos when his son s wish magically renders him incapable of telling a lie 
"LSD: Love, Sex Aur Dhokha",India,2010,112,"Dramas, Independent Movies, International Movies",this provocative drama examines how the voyeuristic nature of modern society affects three unusual couples in northern india 
Mission Istaanbul: Darr Ke Aagey Jeet Hai,India,2008,119,"Action & Adventure, International Movies, Music & Musicals",a television journalist makes a risky career move by accepting a job offer from a controversial istanbul television station 
Once Upon a Time in Mumbaai,India,2010,133,"Dramas, International Movies, Music & Musicals",mumbai s top mob boss rules the underworld with honor and compassion  but his power hungry prot g  will shake up the world of organized crime 
Once Upon a Time in Mumbai Dobaara!,India,2013,142,"Dramas, International Movies, Music & Musicals",this turbulent sequel to once upon a time in mumbai carries on the saga of the gangland don shoaib khan  who continues pressing for more control 
Ragini MMS,India,2011,93,"Horror Movies, International Movies",a couple out to have a sensuous weekend at a house outside of mumbai finds it rigged with surveillance cameras and occupied by an evil entity 
Ragini MMS 2,India,2014,113,"Horror Movies, International Movies",the horror continues when ragini s video goes viral and a sleazy director decides to make a movie about the incident in the original house 
Shootout at Lokhandwala,India,2007,116,"Action & Adventure, Dramas, International Movies",based on a true story  this action film follows an incident that stunned a nation in the early 1990s  in mumbai  india  the notorious gangster maya holds off veteran cop khan and a force of more than 200 policemen in a six hour bloody gunfight 
Shor In the City,India,2011,106,"Comedies, Dramas, Independent Movies",when three small time mumbai crooks steal a bag on a train  they find that it s filled with weapons and realize that their lives may be in danger 
The Dirty Picture,India,2011,145,"Comedies, Dramas, International Movies",after running away from home in search of movie stardom  a village girl rises to become a prominent sex symbol 
Really Love,United States,2020,95,"Dramas, Independent Movies, Romantic Movies",a rising black painter tries to break into a competitive art world while balancing an unexpected romance with an ambitious law student 
The November Man,"United States, United Kingdom",2014,108,Action & Adventure,an ex cia agent emerges from retirement to protect an important witness  but he soon discovers that old friends can make the most dangerous enemies 
The Old Ways,United States,2020,90,Horror Movies,a reporter visits her birthplace in veracruz for a story about tribal culture  only to be kidnapped by locals who believe she s demonically possessed 
The Water Man,United States,2021,92,"Children & Family Movies, Dramas",desperate to save his ailing mother  11 year old gunner runs away from home on a quest to find a mythic figure rumored to have the power to cheat death 
Count Me In,United Kingdom,2021,82,"Documentaries, Music & Musicals",this documentary features some of rock s greatest drummers as they come together in an inspiring rhythmic journey about the power of human connection 
Sweet Girl,United States,2021,110,"Action & Adventure, Dramas",he lost the love of his life to a pharmaceutical company s greed  now his daughter is without a mother  and he s without justice  for now 
Like Crazy,United States,2011,91,"Dramas, Independent Movies, Romantic Movies",a spirited exchange student and an american man fall in love in la  but their romance faces an uphill battle when she is forced to return to england 
Bombay,India,1995,135,"Dramas, International Movies, Romantic Movies",years after they elope against their family s wishes  a couple and their sons become caught in the throes of conflict in their city 
Pahuna,"India, Nepal",2018,82,"Comedies, Dramas, International Movies",fleeing unrest in their native nepal  three young siblings separated from their parents must beat the odds to survive on their own in india 
Walk of Shame,United States,2014,94,"Comedies, Independent Movies",after a night of boozy carousing  a local newscaster finds herself stranded on the streets of la just hours before the job interview of a lifetime 
The Piano,"New Zealand, Australia, France, United States",1993,121,"Classic Movies, Dramas, Independent Movies",with her daughter and her beloved piano in tow  a mute scottish woman arrives in new zealand  where a gruff loner sets out to seduce her 
Beckett,"Italy, Brazil, Greece",2021,110,Action & Adventure,an american tourist goes on the run in greece after a tragic accident plunges him into a political conspiracy that makes him a target for assassination 
Lokillo: Nothing's the Same,Colombia,2021,64,Stand-Up Comedy,through songs and puns  comedian lokillo florez hilariously reviews how latin americans have adjusted to a new world where no hugging policies prevail 
Monster Hunter: Legends of the Guild,"United States, Japan",2021,59,"Action & Adventure, Anime Features, Children & Family Movies",in a world where humans and fearsome monsters live in an uneasy balance  young hunter aiden fights to save his village from destruction by a dragon 
Brother Jekwu,Nigeria,2016,101,"Comedies, International Movies",chasing wild success  a village hustler follows his cousin from nigeria to kenya and stumbles into the shady business affairs of a notorious overlord 
La diosa del asfalto,Mexico,2020,127,"Dramas, Independent Movies, International Movies",a woman from a tough neighborhood outside mexico city comes home a rock star  inadvertently provoking a confrontation with the ghosts of her past 
Misha and the Wolves,"Belgium, United Kingdom",2021,90,"Documentaries, International Movies",as a little girl  she escaped the holocaust and lived among wolves  or did she  an extraordinary story elicits sympathy   then draws scrutiny 
The Kissing Booth 3,"United Kingdom, United States",2021,114,"Comedies, Romantic Movies",determined to make the most of her final summer before college  elle plans the ultimate bucket list as she navigates what comes next with noah and lee 
The Railway Man,"Switzerland, United Kingdom, Australia",2013,108,"Dramas, International Movies",decades after world war ii  a still shattered soldier unexpectedly falls in love and sees a bizarre coincidence bring his past back into focus 
Untold: Malice at the Palace,United States,2021,70,"Documentaries, Sports Movies",key figures from an infamous 2004 incident between players and fans at an nba game in michigan discuss the fight  its fallout and its lasting legacy 
Quartet,United Kingdom,2012,98,"Comedies, Dramas, Independent Movies",to save their posh retirement home  former opera stars plan a gala recital   until the biggest diva among them refuses to sing 
Slay,South Africa,2021,86,"Comedies, International Movies, Romantic Movies",in pursuit of both success and validation  a group of tech savvy individuals juggle intimate encounters  first impressions and romantic opportunities 
The Paper Tigers,United States,2021,111,"Action & Adventure, Comedies",after reuniting as middle aged men  three kung fu prodigies must set their differences aside and dust off their skills to avenge their beloved mentor 
Quam's Money,Nigeria,2020,115,"Comedies, Dramas, International Movies",in this sequel to  new money   quam  a security guard turned multimillionaire  lives the good life with his fortune until he falls victim to fraud 
The Swarm,France,2021,102,"Horror Movies, Independent Movies, International Movies",a single mother breeds locusts as high protein food  but has trouble getting them to reproduce   until she finds they have a taste for blood 
Vivo,"Canada, United States",2021,100,"Children & Family Movies, Music & Musicals",a music loving kinkajou embarks on the journey of a lifetime to fulfill his destiny and deliver a love song for an old friend 
Chennai Express,India,2013,135,"Action & Adventure, Comedies, International Movies",what could have been a sad journey turns joyful for rahul when he falls in love with a woman en route to submerging his grandfather s ashes 
City of God: 10 Years Later,Brazil,2013,69,"Documentaries, International Movies",a decade after the seminal brazilian film  city of god   this documentary reunites some of the cast and crew to find out what paths their lives took 
Esperando la carroza,Argentina,1985,95,"Comedies, Cult Movies, International Movies",cora has three sons and a daughter and she s almost 80  one day during a family reunion the big question comes up  who will be her heir 
Lady Boss: The Jackie Collins Story,United Kingdom,2021,97,Documentaries, queen of sleaze  or feminist pioneer  powerhouse novelist jackie collins created a brash sex positive persona while hiding her private struggles 
Tango Feroz,"Argentina, Spain",1993,124,"Classic Movies, Dramas, International Movies",one of the first rock stars in argentina  tango leads a full life during an era of social unrest   one of both glory and despair 
'76,Nigeria,2016,118,"Dramas, International Movies",when her husband is accused of taking part in an attempted military coup  a pregnant woman s life takes an emotional turn  inspired by true events 
Aftermath,United States,2021,115,Horror Movies,desperate to save their marriage  a young couple takes a deal and moves into their dream home  but disturbing events reveal the house s troubled history 
American Masters: Inventing David Geffen,United States,2012,115,Movies,the son of jewish immigrants  david geffen emerged from a humble upbringing to become one of the most powerful media personalities in america 
Heavy,United States,1995,104,"Dramas, Independent Movies, Romantic Movies",overweight victor hides from the world making pizzas in his mother s gloomy dive until a new waitress blows in and disrupts his isolation 
Ije: The Journey,"United States, Nigeria",2010,106,"Dramas, International Movies",when her sister is accused of multiple murders  a nigerian woman travels to los angeles to uncover the truth and fight for her sibling s freedom 
Pray Away,United States,2021,102,"Documentaries, LGBTQ Movies",ex leaders and a survivor of the so called  conversion therapy  movement speak out about its harm to the lgbtq  community and its devastating persistence 
Beethoven,United States,1992,87,"Children & Family Movies, Comedies",a father reluctantly agrees to let his children keep a st  bernard puppy  but the playful pooch soon turns into a full grown engine of destruction 
Beethoven's 2nd,United States,1993,88,"Children & Family Movies, Comedies",after st  bernard beethoven sires a brood with missy  he and the newton kids must intervene when missy s owner tries to sell the puppies 
Beowulf,"United States, United Kingdom",2007,114,"Action & Adventure, Sci-Fi & Fantasy",this deftly animated take on a legendary old english epic tells the timeless tale of a scandinavian hero who s known for slaying dragons 
Boyka: Undisputed,"Bulgaria, United States",2016,90,Action & Adventure,the fourth film in the action franchise finds boyka taking on brutal gangsters to protect the widow of a man he unintentionally killed in the ring 
Catch Me If You Can,"United States, Canada",2002,142,Dramas,an fbi agent makes it his mission to put cunning con man frank abagnale jr  behind bars  but frank not only eludes capture  he revels in the pursuit 
Cloudy with a Chance of Meatballs,"United States, Canada",2009,90,"Children & Family Movies, Comedies, Sci-Fi & Fantasy",when inventor flint lockwood makes clouds rain food  the citizens of chewandswallow can feed themselves  but a bowl of disaster is about to overflow 
Deep Blue Sea,"United States, Mexico",1999,105,"Action & Adventure, Horror Movies, Sci-Fi & Fantasy",scientists conduct research on sharks in search of an alzheimer s cure  but a dangerous shortcut leads to huge sharks with near human intelligence 
Ferris Bueller's Day Off,United States,1986,103,"Classic Movies, Comedies, Cult Movies",after faking an illness to skip school  popular teen ferris bueller enjoys a fun filled day in chicago with his girlfriend and his uptight best friend 
Five Feet Apart,United States,2019,116,"Dramas, Romantic Movies",a teen with cystic fibrosis shakes up her daily routine and challenges hospital protocol when she falls for a fellow patient 
Freedomland,United States,2006,113,"Dramas, Thrillers",when a woman reports that her infant son was kidnapped by a black man  an african american detective and a white activist team up to dig for details 
Good Luck Chuck,"United States, Canada",2007,99,"Comedies, Romantic Movies",every time chuck breaks up with a girlfriend  she ends up engaged to her next boyfriend  soon  women are dating chuck in hopes of meeting mr  right 
Inception,"United States, United Kingdom",2010,148,"Action & Adventure, Sci-Fi & Fantasy, Thrillers",a troubled thief who extracts secrets from people s dreams takes one last job  leading a dangerous mission to plant an idea in a target s subconscious 
Magnolia,United States,1999,189,"Dramas, Independent Movies",through chance  history and divine intervention  a cast of eclectic characters weaves and warps through each other s lives on a random day in california 
Major Payne,United States,1995,97,Comedies,a hardened marine is given his marching orders and must now lead a disorderly group of mismatched cadets into a junior rotc competition 
My Girl,United States,1991,102,Dramas,this coming of age charmer follows a summer in the life of an 11 year old girl who learns about love and loss as she grapples with profound changes 
My Girl 2,United States,1994,99,"Children & Family Movies, Comedies, Dramas",a teen makes surprising discoveries when she talks to her dead mother s high school friends for an essay about someone she admires but has never met 
Open Season: Scared Silly,"United States, Canada",2015,85,"Children & Family Movies, Comedies",when a spooky werewolf tale scares boog out of joining the annual camping trip  his friends hatch a plan to cure him of his fear 
Pineapple Express,United States,2008,112,"Action & Adventure, Comedies",after witnessing a murder  a perpetually stoned process server and his good natured dealer go on the run from a drug lord who s out to kill them 
Planet 51,"Spain, United Kingdom, United States",2009,91,"Children & Family Movies, Comedies, Sci-Fi & Fantasy",after landing on a planet reminiscent of 1950s suburbia  a human astronaut tries to avoid capture  recover his spaceship and make it home safely 
Poms,"United Kingdom, United States",2019,91,Comedies,after moving to a retirement community  loner martha befriends a fun loving neighbor and forms a cheerleading club for young at heart seniors 
